validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vnt_rajada,vis,vis_setor,vis_setor_dir,chuva,trovoada,nevoa_umida,teto,cobertura,tt,po,qnh,ur,vnt_vrb,chuvisco,nevoeiro,nevoa_seca,pancada
"['15:00', '28/01']",28/01 15:00,20,5,,9999,NIL,NIL,NIL,NIL,NIL,NIL,NIL,31,19,1015,49,,,,,
"['16:00', '28/01']",28/01 16:00,280,4,,9999,NIL,NIL,NIL,NIL,NIL,NIL,NIL,32,19,1015,46,,,,,
"['17:00', '28/01']",28/01 17:00,260,4,,9999,NIL,NIL,NIL,NIL,NIL,4700,5,32,19,1014,46,,,,,
"['18:00', '28/01']",28/01 18:00,150,9,,9999,NIL,NIL,NIL,NIL,NIL,4000,5,28,19,1014,58,,,,,
"['19:00', '28/01']",28/01 19:00,140,9,,9000,NIL,NIL,NIL,NIL,NIL,NIL,3,27,21,1013,70,,,,,
"['19:34', '28/01']",28/01 19:34,70,9,,9999,3000,90,1,NIL,NIL,7000,5,25,22,1014,83,,,,,
"['19:45', '28/01']",28/01 19:45,20,6,,3000,NIL,NIL,1,1,1,1500,8,22,21,1014,94,,,,,
"['20:00', '28/01']",28/01 20:00,240,6,,4000,NIL,NIL,1,1,1,1500,5,21,20,1014,94,,,,,
"['21:00', '28/01']",28/01 21:00,190,3,,4500,NIL,NIL,1,1,1,1300,5,21,21,1014,100,,,,,
"['22:00', '28/01']",28/01 22:00,140,3,,4500,NIL,NIL,NIL,NIL,1,1300,5,22,21,1015,94,,,,,
"['23:00', '28/01']",28/01 23:00,210,2,,7000,NIL,NIL,NIL,NIL,NIL,1100,8,22,21,1016,94,,,,,
"['00:00', '29/01']",29/01 00:00,130,3,,6000,NIL,NIL,NIL,NIL,NIL,1100,5,21,21,1017,100,,,,,
"['00:18', '29/01']",29/01 00:18,190,2,,6000,NIL,NIL,NIL,NIL,NIL,10000,5,21,21,1016,100,,,,,
"['01:00', '29/01']",29/01 01:00,70,2,,7000,,,,,,10000,5,21,21,1017,100,,,,,
"['02:00', '29/01']",29/01 02:00,60,4,,7000,,,,,,NIL,NIL,21,20,1017,94,,,,,
"['03:00', '29/01']",29/01 03:00,50,5,,6000,,,,,,NIL,NIL,21,21,1017,100,,,,,
"['04:00', '29/01']",29/01 04:00,70,5,,8000,,,,,,NIL,3,20,20,1016,100,,,,,
"['05:00', '29/01']",29/01 05:00,70,7,,9000,,,,,,NIL,3,20,20,1016,100,,,,,
"['06:00', '29/01']",29/01 06:00,60,7,,9000,,,,,,800,5,20,20,1015,100,,,,,
"['07:00', '29/01']",29/01 07:00,70,7,,9999,,,,,,NIL,3,19,19,1015,100,,,,,
"['08:00', '29/01']",29/01 08:00,70,7,,9999,,,,,,NIL,3,20,20,1016,100,,,,,
"['09:00', '29/01']",29/01 09:00,70,6,,9999,,,,,,4000,5,20,20,1016,100,,,,,
"['10:00', '29/01']",29/01 10:00,50,7,,9999,,,,,,NIL,3,20,20,1017,100,,,,,
"['11:00', '29/01']",29/01 11:00,70,5,,9999,,,,,,NIL,2,23,21,1018,89,,,,,
"['12:00', '29/01']",29/01 12:00,80,4,,9999,,,,,,NIL,2,26,21,1018,74,,,,,
"['13:00', '29/01']",29/01 13:00,320,9,,9999,,,,,,NIL,3,28,21,1017,66,,,,,
"['14:00', '29/01']",29/01 14:00,310,11,,9999,,,,,,3000,5,29,21,1017,62,,,,,
"['15:00', '29/01']",29/01 15:00,300,11,,9999,,,,,,3300,5,30,22,1017,62,,,,,
"['16:00', '29/01']",29/01 16:00,320,10,,9999,,,,,,4000,5,29,21,1016,62,,,,,
"['17:00', '29/01']",29/01 17:00,320,8,,9999,,,,,,4000,5,31,21,1016,55,,,,,
"['18:00', '29/01']",29/01 18:00,310,9,,9999,,,,,,4600,5,31,21,1015,55,,,,,
"['19:00', '29/01']",29/01 19:00,340,10,,9999,,,,,,4600,5,32,20,1014,49,,,,,
"['20:00', '29/01']",29/01 20:00,320,6,,9999,,,,,,4600,5,31,20,1014,52,,,,,
"['21:00', '29/01']",29/01 21:00,330,9,,9999,,,,,,NIL,3,29,21,1014,62,,,,,
"['22:00', '29/01']",29/01 22:00,310,6,,9999,,,,,,NIL,3,28,20,1014,62,,,,,
"['23:00', '29/01']",29/01 23:00,310,5,,9999,,,,,,4500,5,27,21,1015,70,,,,,
"['00:00', '30/01']",30/01 00:00,330,3,,9999,,,,,,5000,5,27,20,1016,66,,,,,
"['01:00', '30/01']",30/01 01:00,50,5,NIL,9999,,,NIL,NIL,NIL,NIL,NIL,26,20,1017,70,,,,NIL,
"['02:00', '30/01']",30/01 02:00,20,6,NIL,9999,,,NIL,NIL,NIL,NIL,NIL,26,21,1017,74,,,,NIL,
"['03:00', '30/01']",30/01 03:00,360,5,NIL,9999,,,NIL,NIL,NIL,NIL,NIL,25,21,1018,79,,,,NIL,
"['04:00', '30/01']",30/01 04:00,70,5,NIL,9999,,,NIL,NIL,NIL,NIL,3,24,22,1017,89,,,,NIL,
"['05:00', '30/01']",30/01 05:00,80,3,NIL,9999,,,NIL,NIL,NIL,NIL,2,23,23,1016,100,,,,NIL,
"['06:00', '30/01']",30/01 06:00,80,3,NIL,9999,,,NIL,NIL,NIL,4000,5,23,22,1016,94,,,,NIL,
"['07:00', '30/01']",30/01 07:00,60,4,NIL,9999,,,NIL,NIL,NIL,NIL,NIL,22,22,1016,100,,,,NIL,
"['08:00', '30/01']",30/01 08:00,0,0,NIL,9999,,,NIL,NIL,NIL,NIL,NIL,22,21,1016,94,,,,NIL,
"['09:00', '30/01']",30/01 09:00,310,6,NIL,9999,,,NIL,NIL,NIL,NIL,2,23,20,1016,83,,,,NIL,
"['10:00', '30/01']",30/01 10:00,340,9,NIL,9999,,,NIL,NIL,NIL,NIL,NIL,24,20,1017,78,,,,NIL,
"['11:00', '30/01']",30/01 11:00,330,8,NIL,9999,,,NIL,NIL,NIL,NIL,NIL,25,20,1017,74,,,,NIL,
"['12:00', '30/01']",30/01 12:00,310,12,NIL,9999,,,NIL,NIL,NIL,2600,5,26,21,1017,74,,,,NIL,
"['13:00', '30/01']",30/01 13:00,310,10,NIL,9999,,,NIL,NIL,NIL,2600,5,27,21,1017,70,,,,NIL,
"['14:00', '30/01']",30/01 14:00,310,11,21,9999,,,NIL,NIL,NIL,3000,5,29,22,1017,66,,,,NIL,
"['15:00', '30/01']",30/01 15:00,330,13,23,9999,,,NIL,NIL,NIL,3300,5,29,21,1017,62,,,,NIL,
"['16:00', '30/01']",30/01 16:00,320,11,22,9999,,,NIL,NIL,NIL,3500,5,31,22,1016,59,,,,NIL,
"['17:00', '30/01']",30/01 17:00,330,11,NIL,9999,,,NIL,NIL,NIL,3500,5,31,22,1015,59,,,,NIL,
"['17:23', '30/01']",30/01 17:23,330,12,22,4000,,,1,1,NIL,8000,5,31,21,1015,55,,,,1,
"['17:38', '30/01']",30/01 17:38,300,23,40,2500,,,1,1,1,4000,5,21,21,1016,100,,,,NIL,
"['18:00', '30/01']",30/01 18:00,340,6,NIL,9000,,,1,1,NIL,5000,5,21,21,1016,100,,,,NIL,
"['19:00', '30/01']",30/01 19:00,0,0,NIL,9999,,,1,1,NIL,NIL,3,24,23,1015,94,,,,NIL,
"['19:43', '30/01']",30/01 19:43,NIL,NIL,NIL,5000,,,1,1,NIL,3000,5,27,21,1016,70,,,,NIL,
"['20:00', '30/01']",30/01 20:00,320,18,28,3000,,,1,1,NIL,2000,5,24,22,1016,89,,,,NIL,
"['20:32', '30/01']",30/01 20:32,300,8,NIL,9000,,,1,1,NIL,3000,5,23,22,1017,94,,,,NIL,
"['21:00', '30/01']",30/01 21:00,300,6,NIL,9000,,,1,1,NIL,7000,5,23,22,1017,94,,,,NIL,
"['22:00', '30/01']",30/01 22:00,300,3,NIL,9999,,,1,NIL,NIL,8000,5,22,22,1017,100,,,,NIL,
"['23:00', '30/01']",30/01 23:00,340,5,NIL,9999,,,1,NIL,NIL,NIL,NIL,23,22,1017,94,,,,NIL,
"['00:00', '31/01']",31/01 00:00,10,7,NIL,9999,,,1,NIL,NIL,NIL,2,23,22,1018,94,,,,NIL,
"['01:00', '31/01']",31/01 01:00,40,6,NIL,9999,,,,,,NIL,NIL,23,21,1018,89,,,,,
"['02:00', '31/01']",31/01 02:00,340,5,NIL,9999,,,,,,NIL,NIL,23,20,1017,83,,,,,
"['03:00', '31/01']",31/01 03:00,290,4,NIL,9999,,,,,,NIL,NIL,23,20,1017,83,,,,,
"['04:00', '31/01']",31/01 04:00,260,1,NIL,9999,,,,,,NIL,NIL,21,21,1016,100,,,,,
"['05:00', '31/01']",31/01 05:00,350,4,NIL,9999,,,,,,NIL,NIL,23,20,1016,83,,,,,
"['06:00', '31/01']",31/01 06:00,310,4,NIL,9999,,,,,,NIL,NIL,23,20,1016,83,,,,,
"['07:00', '31/01']",31/01 07:00,320,5,NIL,9999,,,,,,NIL,NIL,22,20,1015,88,,,,,
"['08:00', '31/01']",31/01 08:00,300,7,17,9999,,,,,,NIL,3,23,20,1016,83,,,,,
"['09:00', '31/01']",31/01 09:00,310,8,NIL,9999,,,,,,NIL,3,22,20,1017,88,,,,,
"['10:00', '31/01']",31/01 10:00,300,5,NIL,9999,,,,,,NIL,3,22,20,1017,88,,,,,
"['11:00', '31/01']",31/01 11:00,290,9,NIL,9999,,,,,,2100,5,23,20,1018,83,,,,,
"['12:00', '31/01']",31/01 12:00,310,11,NIL,9999,,,,,,NIL,2,25,21,1018,79,,,,,
"['13:00', '31/01']",31/01 13:00,300,10,NIL,9999,,,,,,NIL,3,25,21,1018,79,,,,,
"['14:00', '31/01']",31/01 14:00,300,12,23,9999,,,,,,NIL,3,27,22,1018,74,,,,,
"['15:00', '31/01']",31/01 15:00,310,12,NIL,9999,,,,,,NIL,3,27,21,1018,70,,,,,
"['16:00', '31/01']",31/01 16:00,320,9,NIL,9999,,,,,,NIL,3,28,21,1017,66,,,,,
"['17:00', '31/01']",31/01 17:00,290,12,NIL,9999,,,,,,NIL,3,29,21,1016,62,,,,,
"['18:00', '31/01']",31/01 18:00,330,9,NIL,9999,,,,,,NIL,3,28,21,1016,66,,,,,
"['19:00', '31/01']",31/01 19:00,290,10,NIL,9999,,,,,,NIL,3,28,21,1016,66,,,,,
"['20:00', '31/01']",31/01 20:00,300,5,NIL,9999,,,,,,4000,5,28,22,1015,70,,,,,
"['21:00', '31/01']",31/01 21:00,290,7,NIL,9999,,,,,,NIL,3,28,21,1015,66,,,,,
"['22:00', '31/01']",31/01 22:00,340,6,NIL,9999,,,,,,NIL,3,27,22,1016,74,,,,,
"['23:00', '31/01']",31/01 23:00,340,8,NIL,9999,,,,,,NIL,2,25,22,1017,83,,,,,
"['00:00', '01/02']",01/02 00:00,310,6,NIL,9999,,,,,,NIL,NIL,24,21,1017,83,,,,,
"['01:00', '01/02']",01/02 01:00,330,6,,9999,,,NIL,NIL,NIL,NIL,2,25,21,1017,79,,,,,
"['02:00', '01/02']",01/02 02:00,300,4,,9999,,,NIL,NIL,NIL,7000,5,24,21,1018,83,,,,,
"['03:00', '01/02']",01/02 03:00,300,8,,9999,,,1,NIL,NIL,NIL,3,23,21,1018,89,,,,,
"['04:00', '01/02']",01/02 04:00,300,5,,9999,,,1,NIL,NIL,NIL,3,22,21,1017,94,,,,,
"['05:00', '01/02']",01/02 05:00,250,2,,9999,,,1,NIL,NIL,NIL,3,21,21,1017,100,,,,,
"['06:00', '01/02']",01/02 06:00,270,6,,9999,,,NIL,NIL,NIL,NIL,NIL,22,21,1016,94,,,,,
"['07:00', '01/02']",01/02 07:00,290,5,,9999,,,NIL,NIL,NIL,NIL,NIL,22,21,1016,94,,,,,
"['08:00', '01/02']",01/02 08:00,300,2,,9999,,,NIL,NIL,NIL,NIL,NIL,21,21,1016,100,,,,,
"['09:00', '01/02']",01/02 09:00,310,3,,9999,,,NIL,NIL,NIL,NIL,NIL,22,21,1017,94,,,,,
"['10:00', '01/02']",01/02 10:00,280,3,,9999,,,NIL,NIL,NIL,NIL,NIL,23,21,1018,89,,,,,
"['11:00', '01/02']",01/02 11:00,280,4,,9999,,,NIL,NIL,NIL,NIL,NIL,23,21,1018,89,,,,,
"['12:00', '01/02']",01/02 12:00,290,4,,9999,,,NIL,NIL,NIL,8300,5,24,21,1019,83,,,,,
"['13:00', '01/02']",01/02 13:00,310,5,,9999,,,NIL,NIL,NIL,7000,5,25,22,1019,83,,,,,
"['14:00', '01/02']",01/02 14:00,300,8,,9999,,,NIL,NIL,NIL,1700,5,26,23,1018,84,,,,,
"['15:00', '01/02']",01/02 15:00,260,7,,9999,,,NIL,NIL,NIL,1900,5,27,23,1018,79,,,,,
"['16:00', '01/02']",01/02 16:00,300,7,,9999,,,NIL,NIL,NIL,NIL,3,28,22,1017,70,,,,,
"['17:00', '01/02']",01/02 17:00,320,7,,9999,,,NIL,NIL,NIL,NIL,3,28,22,1016,70,,,,,
"['18:00', '01/02']",01/02 18:00,220,7,,9999,,,NIL,NIL,NIL,NIL,3,27,22,1015,74,,,,,
"['18:43', '01/02']",01/02 18:43,160,9,,2000,,,1,1,NIL,3000,5,24,22,1015,89,,,,,
"['19:00', '01/02']",01/02 19:00,180,6,,2000,,,1,1,NIL,3000,5,23,23,1016,100,,,,,
"['20:00', '01/02']",01/02 20:00,270,3,,3000,,,1,1,1,1800,5,21,21,1017,100,,,,,
"['20:35', '01/02']",01/02 20:35,0,0,,3500,,,1,1,1,1800,5,21,21,1017,100,,,,,
"['21:00', '01/02']",01/02 21:00,0,0,,3500,,,1,1,1,1800,5,21,21,1017,100,,,,,
"['22:00', '01/02']",01/02 22:00,0,0,,5000,,,1,1,1,4000,8,21,21,1017,100,,,,,
"['23:00', '01/02']",01/02 23:00,0,0,,7000,,,1,NIL,NIL,700,5,22,22,1018,100,,,,,
"['23:48', '01/02']",01/02 23:48,200,3,,5000,,,1,NIL,1,800,8,21,21,1018,100,,,,,
"['00:00', '02/02']",02/02 00:00,220,4,,5000,,,1,NIL,1,600,8,20,20,1018,100,,,,,
"['01:00', '02/02']",02/02 01:00,0,0,,6000,,,1,NIL,,7000,8,20,20,1019,100,,,,,
"['02:00', '02/02']",02/02 02:00,30,2,,8000,,,NIL,NIL,,NIL,3,21,21,1019,100,,,,,
"['03:00', '02/02']",02/02 03:00,80,2,,9999,,,NIL,NIL,,8000,5,21,21,1018,100,,,,,
"['04:00', '02/02']",02/02 04:00,140,2,,9999,,,NIL,NIL,,8000,5,21,21,1018,100,,,,,
"['05:00', '02/02']",02/02 05:00,160,1,,9999,,,NIL,NIL,,1000,5,21,21,1017,100,,,,,
"['06:00', '02/02']",02/02 06:00,60,4,,9999,,,NIL,NIL,,700,5,21,21,1017,100,,,,,
"['07:00', '02/02']",02/02 07:00,80,4,,9999,,,NIL,NIL,,400,5,21,21,1016,100,,,,,
"['08:00', '02/02']",02/02 08:00,90,2,,9999,,,1,NIL,,500,5,21,21,1017,100,,,,,
"['09:00', '02/02']",02/02 09:00,140,2,,8000,,,NIL,NIL,,500,8,21,21,1017,100,,,,,
"['10:00', '02/02']",02/02 10:00,90,2,,9000,,,NIL,NIL,,1000,8,21,21,1018,100,,,,,
"['11:00', '02/02']",02/02 11:00,100,2,,9000,,,NIL,NIL,,600,5,22,21,1018,94,,,,,
"['12:00', '02/02']",02/02 12:00,140,3,,8000,,,NIL,NIL,,1100,8,22,22,1019,100,,,,,
"['13:00', '02/02']",02/02 13:00,100,3,,9999,,,NIL,NIL,,1500,8,23,21,1019,89,,,,,
"['14:00', '02/02']",02/02 14:00,30,3,,9999,,,NIL,NIL,,2500,5,24,22,1019,89,,,,,
"['15:00', '02/02']",02/02 15:00,60,4,,9999,,,NIL,NIL,,2500,5,25,22,1019,83,,,,,
"['16:00', '02/02']",02/02 16:00,50,3,,9999,,,NIL,NIL,,10000,8,26,21,1018,74,,,,,
"['17:00', '02/02']",02/02 17:00,20,3,,9999,,,NIL,NIL,,10000,5,27,21,1017,70,,,,,
"['18:00', '02/02']",02/02 18:00,120,2,,9999,,,NIL,NIL,,NIL,3,27,21,1017,70,,,,,
"['19:00', '02/02']",02/02 19:00,120,10,,9999,,,NIL,NIL,,8000,5,25,22,1016,83,,,,,
"['20:00', '02/02']",02/02 20:00,100,7,,9999,,,NIL,NIL,,4300,5,23,21,1016,89,,,,,
"['20:13', '02/02']",02/02 20:13,100,5,,9999,,,NIL,NIL,,1100,5,22,21,1017,94,,,,,
"['21:00', '02/02']",02/02 21:00,80,4,,6000,,,NIL,NIL,,1100,5,22,21,1016,94,,,,,
"['21:38', '02/02']",02/02 21:38,130,6,,9999,,,1,1,,3000,5,21,21,1017,100,,,,,
"['22:00', '02/02']",02/02 22:00,110,7,,9999,,,1,1,,3000,5,21,21,1017,100,,,,,
"['23:00', '02/02']",02/02 23:00,100,4,,9999,,,1,1,,10000,5,21,21,1018,100,,,,,
"['00:00', '03/02']",03/02 00:00,100,5,,8000,,,1,1,,10000,5,21,21,1019,100,,,,,
"['00:33', '03/02']",03/02 00:33,130,4,,9999,,,1,1,,10000,5,20,20,1019,100,,,,,
"['01:00', '03/02']",03/02 01:00,120,3,,9999,,,1,1,,10000,5,20,20,1020,100,,,,,
"['01:17', '03/02']",03/02 01:17,100,3,,8000,,,1,NIL,,10000,5,20,20,1020,100,,,,,
"['02:00', '03/02']",03/02 02:00,110,3,,9999,,,1,NIL,,10000,5,20,20,1019,100,,,,,
"['03:00', '03/02']",03/02 03:00,130,3,,8000,,,1,NIL,,10000,5,20,20,1019,100,,,,,
"['03:30', '03/02']",03/02 03:30,60,4,,7000,,,1,NIL,,1000,5,20,20,1018,100,,,,,
"['04:00', '03/02']",03/02 04:00,80,2,,7000,,,1,NIL,,900,5,20,20,1018,100,,,,,
"['05:00', '03/02']",03/02 05:00,70,3,,9999,,,NIL,NIL,,700,8,20,20,1017,100,,,,,
"['06:00', '03/02']",03/02 06:00,60,4,,9999,,,NIL,NIL,,600,8,20,20,1016,100,,,,,
"['07:00', '03/02']",03/02 07:00,50,5,,9999,,,NIL,NIL,,500,8,20,20,1016,100,,,,,
"['08:00', '03/02']",03/02 08:00,40,5,,8000,,,NIL,NIL,,500,8,20,20,1016,100,,,,,
"['09:00', '03/02']",03/02 09:00,70,5,,6000,,,1,NIL,,500,5,20,20,1017,100,,,,,
"['10:00', '03/02']",03/02 10:00,70,6,,7000,,,1,NIL,,500,8,20,20,1017,100,,,,,
"['11:00', '03/02']",03/02 11:00,70,6,,7000,,,1,NIL,,700,8,21,21,1017,100,,,,,
"['12:00', '03/02']",03/02 12:00,70,5,,9999,,,NIL,NIL,,700,5,22,21,1018,94,,,,,
"['12:20', '03/02']",03/02 12:20,80,5,,9999,,,NIL,NIL,,1100,5,23,21,1018,89,,,,,
"['13:00', '03/02']",03/02 13:00,80,1,,7000,,,1,NIL,,1100,5,23,22,1018,94,,,,,
"['14:00', '03/02']",03/02 14:00,190,2,,8000,,,1,NIL,,1000,8,23,23,1018,100,,,,,
"['15:00', '03/02']",03/02 15:00,0,0,,9000,,,NIL,NIL,,8000,5,23,23,1018,100,,,,,
"['16:00', '03/02']",03/02 16:00,190,2,,9000,,,NIL,NIL,,7000,5,25,22,1017,83,,,,,
"['17:00', '03/02']",03/02 17:00,190,3,,9000,,,NIL,NIL,,NIL,3,25,23,1016,89,,,,,
"['18:00', '03/02']",03/02 18:00,180,5,,7000,,,1,NIL,,2000,5,26,22,1015,79,,,,,
"['19:00', '03/02']",03/02 19:00,190,8,,9999,,,1,NIL,,1100,8,22,21,1016,94,,,,,
"['20:00', '03/02']",03/02 20:00,200,4,,9999,,,NIL,NIL,,1100,5,22,21,1017,94,,,,,
"['20:45', '03/02']",03/02 20:45,180,3,,7000,,,1,NIL,,1100,5,22,21,1017,94,,,,,
"['21:00', '03/02']",03/02 21:00,190,4,,9999,,,1,NIL,,1100,5,21,21,1017,100,,,,,
"['22:00', '03/02']",03/02 22:00,180,5,,6000,,,1,NIL,,1100,8,20,20,1018,100,,,,,
"['23:00', '03/02']",03/02 23:00,230,2,,9999,,,1,NIL,,1100,5,20,20,1019,100,,,,,
"['00:00', '04/02']",04/02 00:00,170,3,,9999,,,1,NIL,,1300,5,20,20,1019,100,,,,,
"['01:00', '04/02']",04/02 01:00,190,2,,9999,NIL,NIL,NIL,NIL,NIL,1300,5,19,19,1019,100,,NIL,,,
"['02:00', '04/02']",04/02 02:00,260,2,,9999,NIL,NIL,NIL,NIL,NIL,800,8,19,19,1019,100,,NIL,,,
"['03:00', '04/02']",04/02 03:00,0,0,,9999,NIL,NIL,NIL,NIL,NIL,700,8,19,19,1018,100,,NIL,,,
"['04:00', '04/02']",04/02 04:00,0,0,,9000,NIL,NIL,NIL,NIL,NIL,700,8,20,20,1017,100,,1,,,
"['05:00', '04/02']",04/02 05:00,0,0,,9000,NIL,NIL,NIL,NIL,NIL,800,8,19,19,1017,100,,NIL,,,
"['05:40', '04/02']",04/02 05:40,0,0,,4500,NIL,NIL,NIL,NIL,1,500,8,19,19,1017,100,,1,,,
"['06:00', '04/02']",04/02 06:00,110,1,,4000,NIL,NIL,NIL,NIL,1,300,8,19,19,1017,100,,1,,,
"['07:00', '04/02']",04/02 07:00,0,0,,4500,NIL,NIL,NIL,NIL,1,400,8,19,19,1016,100,,1,,,
"['08:00', '04/02']",04/02 08:00,160,2,,5000,NIL,NIL,NIL,NIL,1,500,8,20,20,1017,100,,1,,,
"['09:00', '04/02']",04/02 09:00,0,0,,7000,3000,90,NIL,NIL,NIL,300,5,20,20,1017,100,,NIL,,,
"['10:00', '04/02']",04/02 10:00,0,0,,7000,NIL,NIL,NIL,NIL,NIL,400,8,20,20,1018,100,,NIL,,,
"['11:00', '04/02']",04/02 11:00,60,3,,5000,NIL,NIL,NIL,NIL,1,400,8,20,20,1018,100,,1,,,
"['12:00', '04/02']",04/02 12:00,130,3,,7000,NIL,NIL,NIL,NIL,NIL,800,8,21,21,1019,100,,NIL,,,
"['13:00', '04/02']",04/02 13:00,160,4,,9999,NIL,NIL,NIL,NIL,NIL,2000,5,22,21,1019,94,,NIL,,,
"['14:00', '04/02']",04/02 14:00,200,3,,9999,NIL,NIL,NIL,NIL,NIL,2000,5,24,22,1018,89,,NIL,,,
"['15:00', '04/02']",04/02 15:00,VRB,2,,9999,NIL,NIL,NIL,NIL,NIL,2000,5,26,21,1018,74,,NIL,,,
"['16:00', '04/02']",04/02 16:00,180,4,,9999,NIL,NIL,NIL,NIL,NIL,3000,5,26,21,1017,74,,NIL,,,
"['17:00', '04/02']",04/02 17:00,210,6,,9000,NIL,NIL,NIL,NIL,NIL,2500,5,26,21,1017,74,,NIL,,,
"['18:00', '04/02']",04/02 18:00,180,6,,9999,NIL,NIL,NIL,NIL,NIL,3000,5,27,22,1016,74,,NIL,,,
"['19:00', '04/02']",04/02 19:00,170,7,,9999,4000,45,NIL,NIL,NIL,4000,5,25,21,1016,79,,NIL,,,
"['19:35', '04/02']",04/02 19:35,160,8,,3500,NIL,NIL,1,NIL,1,1400,8,22,21,1016,94,,NIL,,,
"['19:48', '04/02']",04/02 19:48,140,5,,3500,NIL,NIL,1,1,1,1400,8,22,22,1016,100,,NIL,,,
"['20:00', '04/02']",04/02 20:00,110,6,,9999,4000,90,1,1,NIL,1400,5,22,22,1016,100,,NIL,,,
"['21:00', '04/02']",04/02 21:00,110,5,,9999,NIL,NIL,NIL,1,NIL,2000,8,23,22,1016,94,,NIL,,,
"['22:00', '04/02']",04/02 22:00,130,4,,9999,NIL,NIL,NIL,NIL,NIL,2000,5,22,22,1016,100,,NIL,,,
"['23:00', '04/02']",04/02 23:00,150,2,,9999,NIL,NIL,NIL,NIL,NIL,1300,5,22,21,1017,94,,NIL,,,
"['00:00', '05/02']",05/02 00:00,70,2,,9999,NIL,NIL,NIL,NIL,NIL,1300,5,22,22,1018,100,,NIL,,,
"['01:00', '05/02']",05/02 01:00,70,3,,9999,,,NIL,NIL,NIL,900,8,22,22,1018,100,,NIL,,,
"['02:00', '05/02']",05/02 02:00,110,3,,9999,,,NIL,NIL,NIL,2000,5,22,21,1018,94,,NIL,,,
"['03:00', '05/02']",05/02 03:00,50,5,,9999,,,NIL,NIL,NIL,10000,5,22,22,1017,100,,NIL,,,
"['04:00', '05/02']",05/02 04:00,100,2,,9000,,,NIL,NIL,NIL,800,5,21,21,1017,100,,NIL,,,
"['05:00', '05/02']",05/02 05:00,0,0,,8000,,,NIL,NIL,NIL,900,5,21,21,1016,100,,NIL,,,
"['06:00', '05/02']",05/02 06:00,0,0,,9000,,,NIL,NIL,NIL,900,5,21,21,1016,100,,NIL,,,
"['07:00', '05/02']",05/02 07:00,0,0,,9999,,,NIL,NIL,NIL,1100,5,21,21,1016,100,,NIL,,,
"['08:00', '05/02']",05/02 08:00,0,0,,9999,,,NIL,NIL,NIL,900,5,21,21,1016,100,,NIL,,,
"['09:00', '05/02']",05/02 09:00,0,0,,8000,,,NIL,NIL,NIL,1300,5,21,21,1017,100,,1,,,
"['09:30', '05/02']",05/02 09:30,350,3,,9999,,,NIL,NIL,NIL,1900,5,21,21,1017,100,,NIL,,,
"['10:00', '05/02']",05/02 10:00,360,5,,9999,,,NIL,NIL,NIL,1900,5,22,21,1018,94,,NIL,,,
"['11:00', '05/02']",05/02 11:00,0,0,,9999,,,NIL,NIL,NIL,1900,5,22,21,1018,94,,NIL,,,
"['12:00', '05/02']",05/02 12:00,260,3,,9999,,,NIL,NIL,NIL,1500,5,23,21,1018,89,,NIL,,,
"['13:00', '05/02']",05/02 13:00,280,6,,9999,,,NIL,NIL,NIL,3500,5,24,21,1018,83,,NIL,,,
"['14:00', '05/02']",05/02 14:00,300,5,,9999,,,NIL,NIL,NIL,1900,5,25,21,1017,79,,NIL,,,
"['15:00', '05/02']",05/02 15:00,330,8,,9999,,,NIL,NIL,NIL,3000,5,27,20,1017,66,,NIL,,,
"['16:00', '05/02']",05/02 16:00,270,5,,9999,,,NIL,NIL,NIL,3300,5,28,20,1016,62,,NIL,,,
"['17:00', '05/02']",05/02 17:00,280,6,,9999,,,NIL,NIL,NIL,3500,5,30,21,1015,59,,NIL,,,
"['18:00', '05/02']",05/02 18:00,300,4,,9999,,,NIL,NIL,NIL,4000,5,30,21,1014,59,,NIL,,,
"['19:00', '05/02']",05/02 19:00,120,7,,8000,,,1,1,NIL,2600,5,24,22,1014,89,,NIL,,,
"['19:05', '05/02']",05/02 19:05,140,9,,3000,,,1,1,NIL,2500,5,24,22,1014,89,,NIL,,,
"['19:35', '05/02']",05/02 19:35,90,6,,6000,,,1,1,NIL,2500,5,23,23,1015,100,,NIL,,,
"['20:00', '05/02']",05/02 20:00,80,4,,6000,,,1,1,NIL,2500,8,22,22,1015,100,,NIL,,,
"['21:00', '05/02']",05/02 21:00,70,1,,4500,,,1,NIL,NIL,8000,8,22,22,1015,100,,NIL,,,
"['22:00', '05/02']",05/02 22:00,160,4,,5000,,,1,NIL,1,1100,8,22,22,1016,100,,NIL,,,
"['23:00', '05/02']",05/02 23:00,0,0,,8000,,,1,NIL,NIL,900,8,22,22,1016,100,,NIL,,,
"['00:00', '06/02']",06/02 00:00,120,4,,9999,,,1,NIL,NIL,2000,8,22,22,1017,100,,NIL,,,
"['01:00', '06/02']",06/02 01:00,90,7,NIL,9999,,,1,NIL,NIL,1000,8,22,22,1018,100,,,,,
"['02:00', '06/02']",06/02 02:00,60,9,NIL,9999,,,1,NIL,NIL,3500,8,21,21,1018,100,,,,,
"['03:00', '06/02']",06/02 03:00,70,6,NIL,9999,,,1,NIL,NIL,8000,5,20,20,1018,100,,,,,
"['04:00', '06/02']",06/02 04:00,50,7,NIL,9999,,,1,NIL,NIL,1100,5,20,20,1017,100,,,,,
